Gender,Race,Age,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALL,ALL,85+,5576436,5732074,5901732,6032255,6173928,6305988,6428180,6516408,6596156,6659584
M,ALL,ALL,155863436,157115528,158418057,159656084,160962393,162301469,163603974,164760136,165726197,166621389
M,ALL,0-4,10939904,10917855,10847935,10788960,10812491,10843791,10847762,10835116,10768171,10668086
M,ALL,5-9,10908881,10928107,11022428,11096826,11087314,11084505,11076447,11019985,10965049,10980496
M,ALL,10-14,11043027,11065729,11050558,11047126,11063804,11043960,11073267,11175915,11252845,11235218
M,ALL,15-19,11678961,11535310,11389684,11290620,11231400,11253659,11284764,11274222,11264929,11267993
M,ALL,20-24,11378952,11630195,11892141,12051906,12118947,12048471,11903990,11746776,11620010,11531335
M,ALL,25-29,10918898,11008729,11092755,11214876,11440722,11705199,11991626,12241338,12374315,12407517
M,ALL,30-34,10273899,10505302,10719801,10915562,11048643,11132034,11259676,11348322,11458541,11656901
M,ALL,35-39,10178069,9944651,9900389,9975553,10126081,10365758,10618325,10836219,11026958,11144925
M,ALL,40-44,10564636,10629515,10625656,10529553,10372340,10177012,9959724,9916027,9986120,10121227
M,ALL,45-49,11332746,11107810,10877195,10649414,10471029,10453636,10528323,10527312,10430910,10269052
M,ALL,50-54,11100154,11210997,11221687,11212591,11199616,11077590,10864570,10641487,10419856,10243690
M,ALL,55-59,9695870,9928463,10184371,10395438,10548207,10697023,10805760,10815718,10806185,10792396
M,ALL,60-64,8239564,8629918,8620667,8756184,8953800,9189942,9407500,9645620,9840893,9983631
M,ALL,65-69,5948049,6129437,6669272,6968331,7305946,7653212,8009101,7994188,8114225,8293388
M,ALL,70-74,4308977,4441248,4638298,4921584,5136982,5330074,5495214,5987743,6262049,6566303
M,ALL,75-79,3210152,3257426,3319701,3417765,3536762,3634587,3754328,3924568,4173610,4359031
M,ALL,80-85,2321232,2350058,2370246,2381393,2394599,2426075,2472807,2525163,2608130,2703718
M,ALL,85+,1821465,1894778,1975273,2042402,2113710,2184941,2250790,2304417,2353401,2396482
F,ALL,ALL,161191219,162379106,163567128,164745859,166006727,167266547,168536499,169684515,170670459,171577622
F,ALL,0-4,10482826,10458123,10390331,10330169,10339134,10358571,10366467,10353596,10291453,10202239
F,ALL,5-9,10464690,10475513,10555187,10624733,10618398,10621505,10613320,10560127,10502169,10503754
F,ALL,10-14,10555711,10587808,10579579,10589259,10615073,10601871,10623193,10710158,10777943,10761521
F,ALL,15-19,11107060,10953268,10832402,10761564,10719138,10750944,10793518,10791916,10796442,10810787
F,ALL,20-24,10954419,11195221,11398687,11507222,11542599,11442310,11291881,11169146,11082330,11017466
F,ALL,25-29,10765148,10823108,10856343,10936655,11117170,11342812,11601024,11811296,11902472,11908065
F,ALL,30-34,10261750,10492211,10686394,10867961,10983651,11044686,11120573,11162890,11235492,11394100
F,ALL,35-39,10292031,10048974,9994258,10048179,10184719,10402362,10646878,10850800,11030829,11134131
F,ALL,40-44,10686554,10764258,10763232,10689429,10542035,10344589,10115015,10067628,10118324,10242337
F,ALL,45-49,11633652,11383460,11134763,10883504,10684090,10653205,10736963,10739794,10664339,10512410
F,ALL,50-54,11546703,11654415,11657303,11647622,11629832,11497288,11256836,11014220,10764749,10563548
F,ALL,55-59,10327091,10566497,10830858,11037919,11182002,11319443,11427848,11432314,11419298,11398015
F,ALL,60-64,8922803,9364521,9375142,9546165,9778907,10039505,10271848,10524964,10719359,10851969
F,ALL,65-69,6688660,6869339,7441542,7763736,8140742,8537535,8963732,8978221,9140985,9359379
F,ALL,70-74,5106624,5250124,5462443,5774466,6020887,6232383,6406109,6946799,7252234,7603983
F,ALL,75-79,4165237,4188890,4234204,4326223,4444990,4545541,4682905,4876495,5163066,5383879
F,ALL,80-85,3475460,3466775,3449136,3422419,3404387,3412283,3442426,3483610,3567699,3668491
F,ALL,85+,3754800,3836601,3925324,3988634,4058973,4119714,4175963,4210541,4241276,4261548
